handle,title,description,image_url,price,brand,category,stock
ocean-blue-shirt,Ocean Blue Shirt,Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns.,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,50,partners-demo,,1
classic-varsity-top,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,60,partners-demo,,3
yellow-wool-jumper,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,80,partners-demo,,1
floral-white-top,Floral White Top,Stylish sleeveless white top with a floral pattern.,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,75,partners-demo,,1
striped-silk-blouse,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,50,partners-demo,,1
classic-leather-jacket,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,80,partners-demo,,1
dark-denim-top,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,60,partners-demo,,1
navy-sport-jacket,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,60,partners-demo,,1
dark-winter-jacket,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,50,partners-demo,,1
black-leather-bag,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.",https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,30,partners-demo,,1
zipped-jacket,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,https://burst.shopifycdn.com/photos/menswear-blue-zip-up-jacket_925x.jpg,65,partners-demo,,1
silk-summer-top,Silk Summer Top,Silk womens top with short sleeves and number pattern.,https://burst.shopifycdn.com/photos/young-hip-woman-at-carnival_925x.jpg,70,partners-demo,,1
longsleeve-cotton-top,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",https://burst.shopifycdn.com/photos/woman-outside-brownstone_925x.jpg,50,partners-demo,,1
chequered-red-shirt,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",https://burst.shopifycdn.com/photos/red-plaid-shirt_925x.jpg,50,partners-demo,,1
white-cotton-shirt,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,https://burst.shopifycdn.com/photos/smiling-woman-poses_925x.jpg,30,partners-demo,,1
olive-green-jacket,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,https://burst.shopifycdn.com/photos/urban-fashion_925x.jpg,65,partners-demo,,1
blue-silk-tuxedo,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,https://burst.shopifycdn.com/photos/man-adjusts-blue-tuxedo-bowtie_925x.jpg,70,partners-demo,,1
red-sports-tee,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,https://burst.shopifycdn.com/photos/womens-red-t-shirt_925x.jpg,50,partners-demo,,1
striped-skirt-and-top,Striped Skirt and Top,Black cotton top with matching striped skirt.,https://burst.shopifycdn.com/photos/woman-in-the-city_925x.jpg,50,partners-demo,,1
led-high-tops,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",https://burst.shopifycdn.com/photos/putting-on-your-shoes_925x.jpg,80,partners-demo,,1
clay-plant-pot,Clay Plant Pot,<p>Classic blown clay pot for plants</p>,https://burst.shopifycdn.com/photos/single-sprout-in-a-pot_925x.jpg,9.99,Company 123,Outdoor,4
copper-light,Copper Light,<p>Stylish copper bedside light</p>,https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg,59.99,Company 123,Indoor,2
cream-sofa,Cream Sofa,<p>Comfortable cream sofa with wooden base</p>,https://burst.shopifycdn.com/photos/condominium-interior-livingroom_925x.jpg,500,Company 123,Indoor,4
antique-drawers,Antique Drawers,<p>Antique wooden chest of drawers</p>,https://burst.shopifycdn.com/photos/babys-room_925x.jpg,250,Company 123,Indoor,2
white-bed-clothes,White Bed Clothes,<p>Sleek white bed clothes</p>,https://burst.shopifycdn.com/photos/bright-hotel-room-bed_925x.jpg,29.99,Company 123,Indoor,1
pink-armchair,Pink Armchair,<p>Stylish pink armchair</p>,,750,Company 123,Indoor,0
wooden-outdoor-table,Wooden Outdoor Table,<p>Chic wooden outdoor garden table</p>,https://burst.shopifycdn.com/photos/cafe-patio_925x.jpg,99.99,Rustic LTD,Outdoor,3
brown-throw-pillows,Brown Throw Pillows,<p>Stylish brown throw pillows</p>,https://burst.shopifycdn.com/photos/bedroom-bed-with-brown-throw-pillows_925x.jpg,19.99,Rustic LTD,Indoor,5
white-ceramic-pot,White Ceramic Pot,<p>Homemade white ceramic flower pot</p>,https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg,15.99,Rustic LTD,Indoor,1
yellow-watering-can,Yellow watering can,<p>Vintage vibrant watering can</p>,https://burst.shopifycdn.com/photos/flowers-in-yellow-watering-can_925x.jpg,40.99,Rustic LTD,Outdoor,4
gardening-hand-trowel,Gardening hand trowel,<p>Metal gardening hand trowel with wooden handle</p>,https://burst.shopifycdn.com/photos/spring-gardening-set-up_925x.jpg,10.99,Rustic LTD,Outdoor,2
biodegradable-cardboard-pots,Biodegradable cardboard pots,<p>Biodegradable outdoor cardboard pots</p>,,10,Rustic LTD,Outdoor,8
grey-sofa,Grey Sofa,<p>Large four seater grey sofa</p>,https://burst.shopifycdn.com/photos/large-grey-sofa-by-brick-wall_925x.jpg,29.99,Rustic LTD,Indoor,6
wooden-outdoor-slats,Wooden outdoor slats,<p>Wooden outdoor fencing slats</p>,https://burst.shopifycdn.com/photos/house-plant-on-wooden-slat-wall_925x.jpg,25.99,Rustic LTD,Outdoor,0
wooden-fence,Wooden Fence,<p>Wooden garden fence</p>,,200,Rustic LTD,Outdoor,5
yellow-sofa,Yellow Sofa,<p>Two seater yellow sofa with wooden legs</p>,https://burst.shopifycdn.com/photos/yellow-couch-by-black-and-white-mural_925x.jpg,99.99,Home Sweet Home,Indoor,5
knitted-throw-pillows,Knitted Throw Pillows,<p>Homemade knitted throw pillows in a variety of colors</p>,https://burst.shopifycdn.com/photos/yellow-sofa-with-throw-pillows_925x.jpg,19.99,Home Sweet Home,Indoor,1
vanilla-candle,Vanilla candle,<p>Vanilla scent candle in jar</p>,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg,15.99,Home Sweet Home,Indoor,5
black-bean-bag,Black Beanbag,<p>Black leather beanbag</p>,https://burst.shopifycdn.com/photos/comfortable-living-room-cat_925x.jpg,69.99,Company 123,Indoor,6
bedside-table,Bedside Table,<p>Wooden bedside table</p>,https://burst.shopifycdn.com/photos/dark-wall-bedside-table_925x.jpg,69.99,Company 123,Indoor,1
