
handle,position,image_url,alt_text
gardening-hand-trowel,1,https://burst.shopifycdn.com/photos/spring-gardening-set-up_925x.jpg,
biodegradable-cardboard-pots,1,https://burst.shopifycdn.com/photos/potted-seeds_925x.jpg,
grey-sofa,1,https://burst.shopifycdn.com/photos/large-grey-sofa-by-brick-wall_925x.jpg,
wooden-outdoor-slats,1,https://burst.shopifycdn.com/photos/house-plant-on-wooden-slat-wall_925x.jpg,
wooden-fence,1,https://burst.shopifycdn.com/photos/picket-fence-flowers_925x.jpg,
yellow-sofa,1,https://burst.shopifycdn.com/photos/yellow-couch-by-black-and-white-mural_925x.jpg,
knitted-throw-pillows,1,https://burst.shopifycdn.com/photos/yellow-sofa-with-throw-pillows_925x.jpg,
vanilla-candle,1,https://burst.shopifycdn.com/photos/diy-organic-candle_925x.jpg,
black-bean-bag,1,https://burst.shopifycdn.com/photos/comfortable-living-room-cat_925x.jpg,
bedside-table,1,https://burst.shopifycdn.com/photos/dark-wall-bedside-table_925x.jpg,
